Column1;Column2;Column3;Column4
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Non/mal segnalati
RIGOSA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
VILLAGGIO DELLA BARCA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
DUCATI-VILLAGGIO INA;Degrado sociale;Segnalazioni;Nomadi
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
LA BIRRA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BATTINDARNO;Degrado sociale;Segnalazioni;Bivacco
CASTELDEBOLE;Degrado urbano;Piazze/strade;Dissestate
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
RIGOSA;Degrado sociale;Segnalazioni;Bivacco
TRIUMVIRATO-PIETRA;Microcriminalita;Vandalismi;
AGUCCHI;Degrado sociale;Segnalazioni;Bivacco
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
RIGOSA;Degrado ambientale;Dissesto idro-geologico;Allagamenti
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
CANALE DI RENO;Degrado urbano;Piste ciclabili;Dissestate
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VIA DEL VIVAIO;Degrado urbano;Piazze/strade;Dissestate
VIA DEL VIVAIO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
AGUCCHI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
AGUCCHI;Microcriminalita;Comportamenti sanzionabili;
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado ambientale;Inquinamento atmosferico;Amianto
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
TRIUMVIRATO-PIETRA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
CASTELDEBOLE;Degrado sociale;Segnalazioni;Prostituzione
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado urbano;Piste ciclabili;Non/mal segnalate
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;
BATTINDARNO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CASTELDEBOLE;Degrado urbano;Piazze/strade;Dissestate
AGUCCHI;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA DEL VIVAIO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VILLAGGIO DELLA BARCA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
RIGOSA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
AGUCCHI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
EMILIA PONENTE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CANALE DI RENO;Degrado urbano;Piste ciclabili;Dissestate
RIGOSA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Imbrattate
EMILIA PONENTE;Degrado sociale;Segnalazioni;Donne in difficolta
CASTELDEBOLE;Degrado sociale;Segnalazioni;Bivacco
LA BIRRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
LAVINO DI MEZZO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BATTINDARNO;Degrado urbano;Piazze/strade;Non/mal segnalate
BATTINDARNO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASTELDEBOLE;Degrado sociale;Segnalazioni;Senza fissa dimora
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado urbano;Piste ciclabili;Imbrattate/sporche
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
RIGOSA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BATTINDARNO;Microcriminalita;Vandalismi;
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASTELDEBOLE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RIGOSA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
RIGOSA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Carente
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
RIGOSA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
AGUCCHI;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
CANALE DI RENO;Degrado urbano;Parcheggi pubblici;
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
VIA FERRARESE;Microcriminalita;Occupazioni abusive;Edifici privati
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
CASERME ROSSE-MANIFATTURA;Microcriminalita;Furti/rapine;
PIAZZA DELL'UNITA';Microcriminalita;Vandalismi;
ARCOVEGGIO;Degrado urbano;Piste ciclabili;Non/mal segnalate
SAN SAVINO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
SAVENA ABBANDONATO;Degrado sociale;Segnalazioni;Nomadi
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
PIAZZA DELL'UNITA';Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LA NOCE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
BEVERARA;Degrado urbano;Edifici privati;Abbandonati
BEVERARA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
VIA FERRARESE;Degrado urbano;;
CROCE COPERTA;Degrado urbano;Piazze/strade;Imbrattate
BEVERARA;Degrado ambientale;Neve;
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Degrado ambientale;Neve;
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
PIAZZA DELL'UNITA';Degrado urbano;Edifici privati;Imbrattati
PIAZZA DELL'UNITA';Degrado urbano;Illuminazione pubblica/lampioni;Carente
ARCOVEGGIO;Degrado urbano;Piazze/strade;Dissestate
PIAZZA DELL'UNITA';Degrado urbano;Edifici privati;Imbrattati
PIAZZA DELL'UNITA';Degrado urbano;Edifici privati;Imbrattati
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
MULINO DEL GOMITO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LA NOCE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PIAZZA DELL'UNITA';Degrado urbano;Edifici pubblici;Imbrattati
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado urbano;Piazze/strade;Dissestate
PESCAROLA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BEVERARA;Degrado urbano;Piazze/strade;Dissestate
LA NOCE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
PESCAROLA;Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
SAN SAVINO;Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
EX MERCATO ORTOFRUTTICOLO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
ARCOVEGGIO;Degrado sociale;Segnalazioni;Bivacco
CROCE COPERTA;Degrado ambientale;Inquinamento acustico;Privati
SAN SAVINO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
LAGHETTI DEL ROSARIO;Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
SAVENA ABBANDONATO;Degrado urbano;Piazze/strade;Dissestate
CNR;Degrado ambientale;Inquinamento atmosferico;Amianto
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
BEVERARA;Degrado ambientale;Inquinamento elettromagnetico;Antenne TV
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Degrado urbano;Piazze/strade;Dissestate
SAN SAVINO;Degrado urbano;Edifici pubblici;
PIAZZA DELL'UNITA';Microcriminalita;Comportamenti sanzionabili;Accattonaggio molesto
ARCOVEGGIO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado sociale;Segnalazioni;Nomadi
PESCAROLA;Degrado urbano;Piazze/strade;Dissestate
CROCE COPERTA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA FERRARESE;Microcriminalita;Occupazioni abusive;Edifici privati
BEVERARA;Degrado ambientale;Rifiuti/rottami;
BEVERARA;Degrado ambientale;Rifiuti/rottami;
LAZZARETTO;Degrado sociale;Segnalazioni;Nomadi
LAZZARETTO;Degrado sociale;Segnalazioni;Nomadi
LAZZARETTO;Degrado sociale;Segnalazioni;Senza fissa dimora
SAVENA ABBANDONATO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
PIAZZA DELL'UNITA';Degrado urbano;Edifici privati;Imbrattati
SAN SAVINO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
EX MERCATO ORTOFRUTTICOLO;Degrado ambientale;Inquinamento acustico;Privati
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
LA NOCE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PIAZZA DELL'UNITA';Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado urbano;Edifici privati;
PESCAROLA;Degrado sociale;Segnalazioni;Bivacco
SAN SAVINO;Degrado sociale;Segnalazioni;Mendicanti
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
PIAZZA DELL'UNITA';Degrado sociale;Segnalazioni;Nomadi
PIAZZA DELL'UNITA';Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
EX MERCATO ORTOFRUTTICOLO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PIAZZA DELL'UNITA';Microcriminalita;Occupazioni abusive;Terreni pubblici
LAZZARETTO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado ambientale;Scarichi idrici;Perdite
VIA FERRARESE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
CASERME ROSSE-MANIFATTURA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LAZZARETTO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
VIA FERRARESE;Microcriminalita;Occupazioni abusive;Edifici privati
PIAZZA DELL'UNITA';Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
EX MERCATO ORTOFRUTTICOLO;Degrado ambientale;Inquinamento acustico;Privati
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAVENA ABBANDONATO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Cantieri edili;Abbandonati
ARCOVEGGIO;Degrado sociale;Segnalazioni;Bande giovanili
PESCAROLA;Degrado urbano;Piazze/strade;Dissestate
SAVENA ABBANDONATO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
MULINO DEL GOMITO;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
PIAZZA DELL'UNITA';Degrado sociale;Segnalazioni;Bande giovanili
CASERME ROSSE-MANIFATTURA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PIAZZA DELL'UNITA';Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VIA FERRARESE;Degrado ambientale;Inquinamento atmosferico;Inquinamento atmosferico da sorgenti non puntuali
BEVERARA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BEVERARA;Degrado sociale;Conflitti;
SAN SAVINO;Microcriminalita;Occupazioni abusive;Terreni pubblici
VIA FERRARESE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EX MERCATO ORTOFRUTTICOLO;Degrado urbano;Piazze/strade;Dissestate
LA DOZZA;Degrado sociale;Segnalazioni;Bivacco
SAN SAVINO;Degrado ambientale;;
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
ARCOVEGGIO;Degrado urbano;Piazze/strade;Dissestate
PESCAROLA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
LAZZARETTO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VIA FERRARESE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
SAN SAVINO;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
SAN SAVINO;Degrado sociale;Segnalazioni;Bivacco
CROCE COPERTA;Degrado ambientale;Inquinamento acustico;Privati
PIAZZA DELL'UNITA';Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PESCAROLA;Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BEVERARA;Degrado urbano;Piazze/strade;
BEVERARA;Degrado sociale;Segnalazioni;Senza fissa dimora
BEVERARA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BEVERARA;Microcriminalita;Vandalismi;
PIAZZA DELL'UNITA';Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
LAZZARETTO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PIAZZA DELL'UNITA';Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
BEVERARA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA FERRARESE;Microcriminalita;Vandalismi;
BEVERARA;Degrado sociale;Segnalazioni;Bande giovanili
PESCAROLA;Degrado urbano;Cantieri stradali;
SAVENA ABBANDONATO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
LA NOCE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Inquinamento acustico;Privati
VIA FERRARESE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BEVERARA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
PIAZZA DELL'UNITA';Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BEVERARA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ARCOVEGGIO;Microcriminalita;Furti/rapine;
CROCE COPERTA;Degrado urbano;Illuminazione pubblica/lampioni;Carente
SAN SAVINO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
PIAZZA DELL'UNITA';Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Inquinamento atmosferico;Inquinamento atmosferico da sorgenti non puntuali
BEVERARA;Degrado sociale;Segnalazioni;Senza fissa dimora
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
SAN SAVINO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CROCE COPERTA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
CASERME ROSSE-MANIFATTURA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
ARCOVEGGIO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
PIAZZA DELL'UNITA';Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CROCE COPERTA;Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BEVERARA;Degrado sociale;Segnalazioni;Bivacco
PIAZZA DELL'UNITA';Degrado urbano;Piazze/strade;Dissestate
BEVERARA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
PESCAROLA;Degrado ambientale;Inquinamento acustico;Privati
